id;movieid;countryid
446;273481;US
447;1891;US
448;102651;US
449;27586;US
450;9738;DE
451;9738;US
452;601;US
453;627;GB
454;14160;US
455;1771;US
456;1969;US
457;1969;FR
458;1969;MX
459;218;GB
460;218;US
461;39254;IN
462;39254;US
463;280996;GB
464;280996;US
465;923;IT
466;923;JP
467;923;US
468;307663;US
469;190859;US
470;292280;US
471;17578;NZ
472;17578;US
473;260514;US
474;11679;US
475;324668;GB
476;324668;US
477;324668;CN
478;1724;US
479;268;GB
480;268;US
481;1949;US
482;767;GB
483;767;US
484;10138;US
485;955;DE
486;955;US
487;9792;FR
488;9792;US
489;15255;US
490;254302;BE
491;254302;GB
492;2059;US
493;2133;US
494;340666;US
495;920;US
496;36648;US
497;27;GB
498;2005;US
499;1573;US
500;267935;IN
501;267935;US
502;568;US
503;58595;US
504;100402;US
505;345915;US
506;58574;US
507;13486;US
508;13486;ZA
509;13486;DE
510;9982;US
511;374473;BE
512;374473;FR
513;374473;GB
514;591;US
515;591;MT
516;591;FR
517;591;GB
518;15159;US
519;10711;US
520;49521;GB
521;49521;US
522;1422;HK
523;1422;US
524;12244;US
525;49047;GB
526;49047;US
527;106;US
528;91314;US
529;138832;US
530;324560;GB
531;324560;US
532;324560;NL
533;324560;FR
534;324560;DE
535;324560;BE
536;324560;SE
537;11544;US
538;9543;US
539;807;US
540;10538;US
541;745;US
542;133805;US
543;262504;US
544;2105;US
545;6068;US
546;207932;HU
547;207932;US
548;141;US
549;363676;US
550;136797;PH
551;136797;US
552;136797;GB
553;136797;FR
554;7220;DE
555;7220;US
556;654;US
557;426;US
558;792;GB
559;792;US
560;194662;US
561;1535;GB
562;1535;US
563;1018;FR
564;1018;US
565;2503;DE
566;2503;US
567;73;US
568;81870;CN
569;703;US
570;411;GB
571;411;US
572;1271;US
573;260346;FR
574;260346;US
575;5176;US
576;300671;MT
577;300671;MA
578;300671;US
579;8271;US
580;10555;US
581;808;US
582;340101;GB
583;2832;US
584;1584;DE
585;1584;US
586;4922;US
587;949;US
588;47971;US
589;567;US
590;205587;US
591;192102;FR
592;192102;US
593;92060;US
594;75656;US
595;75656;FR
596;177677;CN
597;177677;US
598;209189;US
599;871;US
600;407887;KR
601;9479;US
602;8409;DE
603;8409;US
604;38810;GR
605;41216;AU
606;41216;US
607;170;GB
608;1439;MY
609;1439;US
610;180863;GB
611;602;US
612;383785;IN
613;383785;CN
614;156022;US
615;162;US
616;181283;GB
617;181283;US
618;181283;CZ
619;181283;RO
620;283445;US
621;64682;US
622;64682;AU
623;223702;CA
624;223702;US
625;2758;US
626;863;US
627;310307;US
628;10802;FR
629;10802;US
630;10144;US
631;278927;GB
632;278927;US
633;5203;US
634;11185;US
635;22804;AU
636;22804;CA
637;22804;GB
638;22804;US
639;425;US
640;869;US
641;271718;US
642;12155;US
643;23483;GB
644;23483;US
645;290595;US
646;49018;US
647;49018;CA
648;166424;US
649;376581;US
650;8326;US
651;319;US
652;241239;AE
653;241239;US
654;242;IT
655;242;US
656;382591;FR
657;128;JP
658;43074;US
659;714;GB
660;714;US
661;8005;FR
662;8005;US
663;8077;GB
664;8077;US
665;185;GB
666;185;US
667;408647;US
668;334543;AU
669;334543;GB
670;334543;US
671;324849;DK
672;324849;US
673;36586;DE
674;36586;US
675;335791;US
676;415;GB
677;415;US
678;345009;IT
679;345009;ES
680;345009;US
681;321258;US
682;321258;CN
683;321258;CA
684;256961;US
685;8844;US
686;47933;US
687;37799;US
688;137116;US
689;10193;US
690;1734;US
691;1124;US
692;256924;US
693;9502;US
694;16869;DE
695;16869;US
696;9804;US
697;8009;GB
698;8009;US
699;9487;US
700;10693;US
701;241554;US
702;136799;US
703;1091;US
704;381284;US
705;429;US
706;429;IT
707;429;ES
708;429;DE
709;856;US
710;275601;US
711;6114;US
712;608;US
713;1988;FR
714;1988;GB
715;1988;PK
716;1988;US
717;979;FR
718;2323;US
719;34544;US
720;290098;KR
721;9023;US
722;411638;ES
723;288;US
724;14161;CA
725;14161;US
726;1593;US
727;1593;GB
728;950;US
729;3133;US
730;794;GB
731;794;US
732;562;US
733;14836;US
734;22803;US
735;402;FR
736;402;US
737;41439;CA
738;41439;US
739;70981;GB
740;70981;US
741;10198;US
742;17692;US
743;97;US
744;13183;US
746;324852;BE
