id;movieid;spokenlanguageid
461;1771;en
462;1969;en
463;1969;es
464;218;en
465;39254;en
466;280996;fr
467;280996;en
468;280996;ja
469;923;en
470;307663;en
471;190859;en
472;292280;en
473;17578;en
474;260514;en
475;11679;en
476;324668;en
477;1724;pt
478;1724;es
479;1724;en
480;268;en
481;268;fr
482;1949;en
483;767;en
484;10138;en
485;10138;ru
486;10138;fr
487;955;en
488;9792;en
489;15255;en
490;254302;fr
491;254302;en
492;2059;la
493;2059;en
494;2059;es
495;2133;en
496;340666;en
497;920;en
498;920;it
499;920;ja
500;920;yi
501;36648;eo
502;36648;en
503;27;en
504;2005;en
505;1573;en
506;1573;es
507;267935;en
508;568;en
509;58595;en
510;100402;en
511;345915;en
512;58574;en
513;13486;en
514;9982;en
515;374473;en
516;591;en
517;591;fr
518;591;la
519;591;es
520;15159;en
521;10711;en
522;10711;fr
523;49521;en
524;1422;en
525;1422;cn
526;12244;en
527;49047;en
528;106;en
529;106;es
530;91314;en
531;138832;en
532;324560;nl
533;324560;en
534;324560;pt
535;11544;en
536;9543;en
537;807;en
538;10538;en
539;745;la
540;745;es
541;745;en
542;133805;en
543;262504;en
544;2105;en
545;6068;en
546;6068;de
547;6068;th
548;207932;en
549;141;en
550;363676;en
551;136797;en
552;7220;en
553;654;en
554;426;en
555;792;en
556;792;vi
557;194662;en
558;1535;cn
559;1535;en
560;1535;de
561;1535;ar
562;1535;fr
563;1018;es
564;1018;en
565;2503;en
566;2503;fr
567;2503;ar
568;2503;ru
569;2503;es
570;73;en
571;81870;zh
572;703;en
573;703;de
574;411;en
575;411;de
576;1271;en
577;260346;en
578;5176;en
579;300671;ar
580;300671;en
581;8271;en
582;8271;es
583;10555;en
584;808;en
585;340101;en
586;2832;en
587;1584;en
588;4922;en
589;949;en
590;949;es
591;47971;en
592;567;en
593;205587;en
594;192102;en
595;92060;en
596;75656;fr
597;75656;en
598;177677;de
599;177677;en
600;177677;sv
601;209189;en
602;871;en
603;407887;en
604;407887;ko
605;9479;en
606;8409;en
607;8409;es
608;38810;el
609;41216;en
610;170;es
611;170;en
612;1439;en
613;1439;th
614;180863;bg
615;180863;en
616;602;en
617;383785;en
618;383785;hi
619;383785;zh
620;383785;th
621;156022;en
622;162;en
623;181283;en
624;283445;en
625;64682;en
626;223702;en
627;2758;en
628;863;en
629;310307;en
630;10802;en
631;10144;en
632;10144;fr
633;278927;en
634;5203;en
635;5203;pt
636;11185;en
637;22804;en
638;425;en
639;869;en
640;271718;en
641;12155;en
642;23483;en
643;290595;en
644;49018;en
645;166424;en
646;376581;en
647;376581;hu
648;8326;en
649;319;en
650;319;it
651;241239;es
652;241239;en
653;242;en
654;242;it
655;242;de
656;242;la
657;382591;en
658;382591;fr
659;128;ja
