id;company_id;name
4740;;Gary Sanchez Productions
4764;;Cinema 84
4792;;Film Afrika Worldwide
4904;;Alan Landsburg Productions
5076;;TMC
5128;;San Francisco Film
5165;;BFI
5218;;Imprint Entertainment
5219;;Sunswept Entertainment
5237;;The Saul Zaentz Company
5257;;Film Department, The
5263;;Amercent Films
5264;;American Entertainment Partners L.P.
5353;;Fastnet Films
5358;;Canal+
5374;;Marv Films
5420;;Color Force
5438;;Kyoto Animation
5552;;Media Asia Films
5561;;Panorama Films
5585;;Stephen J. Cannell Productions
5611;;Milk & Honey
5612;;Brooksfilms
5698;;Oops Doughnuts Productions
5752;;Sony Pictures Entertainment
5755;;Constantin Film Produktion
5798;;Shaw Brothers
5802;;Evil Twins
5870;;Studio Canal
5888;;Walt Disney
5996;;BBC
6092;;Licht/Mueller Film Corporation
6125;;Walt Disney Animation Studios
6179;;Thorn EMI Screen Entertainment
6194;;Warner Bros.
6246;;Medusa Film
6277;;Skydance Productions
6332;;Dune Entertainment III
6363;;BenderSpink
6408;;International Traders
6417;;Film i Väst
6446;;Total Entertainment
6452;;Dentsu
6586;;TPS Star
6680;;Serendipity Productions
6687;;Viz Media
6704;;Illumination Entertainment
6708;;Cloud Eight Films
6715;;K5 International
6734;;Bay Films
6735;;Participant Media
6736;;Imagenation Abu Dhabi FZ
6817;;Zehnte Babelsberg
6818;;Visiona Romantica
6831;;Big Indie Pictures
6877;;Grive Productions
6896;;EuropaCorp
7036;;CJ Entertainment
7076;;Chernin Entertainment
7154;;One Race Films
7161;;LivePlanet
7193;;Company Films
7217;;See-Saw Films
7254;;Greek Film Center
7289;;Weinstein Company, The
7294;;Reliance Entertainment
7295;;Relativity Media
7296;;K/O Paper Products
7297;;Fairview Entertainment
7307;;Medienboard Berlin-Brandenburg
7311;;Kerner Entertainment Company
7330;;Blind Spot Pictures Oy
7340;;C-2 Pictures
7344;;Sayaka Producciones Audiovisuales
7364;;Heyday Films
7380;;Initial Entertainment Group (IEG)
7383;;Kennedy/Marshall Company, The
7384;;Hypnotic
7385;;Kalima Productions GmbH & Co. KG
7392;;Twentieth Century Fox
7405;;Dimension Films
7413;;3Foot7
7431;;Sony Pictures Entertainment (SPE)
7437;;IM Global
7460;;Vendome Pictures
7470;;Esperanto Filmoj
7490;;TSBD Canada Productions
7491;;Zohar International
7493;;FilmNation Entertainment
7505;;Marvel Entertainment
7508;;Produzioni Europee Associati (PEA)
7561;;Nexus Factory
7571;;LionsGate
7576;;Eon Productions
7584;;Screen Australia
7625;;Automatik Entertainment
7636;;Nimar Studios
7680;;Tornasol Films
7733;;Laurinfilm
7734;;Subterranean Productions LLC
7735;;Subterranean Productions UK Ltd.
7736;;Underworld Produktions GmbH
7738;;Sketch Films
7745;;Euro Film Funding
7965;;The Ladd Company
7981;;Pathé
8000;;Broken Road Productions
8087;;Creative Scotland
8089;;Animal Logic
8111;;Apaches Entertainment
8147;;Entertainment One
8249;;Beijing Liangzi Group
8250;;Bona International Film Group
8252;;Shineshow
8253;;Skylark Productions
8286;;Decibel Films
8403;;Bandito Brothers
8406;;Big Kid Pictures
8411;;Metro-Goldwyn-Mayer (MGM)
8569;;Dayday Films
8601;;Tim Burton Productions
8647;;NEW Century
8714;;Northern Lights Films
8789;;Fuzzy Door Productions
8816;;Northern Lights Entertainment
8835;;Skellington Productions Inc.
8851;;Shawn Danielle Productions Ltd.
8870;;CatchPlay
8896;;Manhattan Pictures International
8915;;Pandemonium
9015;;Worldview Entertainment
9078;;Constantin Film.
9169;;Hemisphere Media Capital
9195;;Touchstone Pictures
9282;;27 Films Production
9349;;Film4
9351;;Fade to Black Productions
9383;;Blue Sky Studios
9971;;Castafiore Films
9993;;DC Entertainment
9995;;Cruel & Unusual Films
9996;;Syncopy
10012;;Nadie es Perfecto
10039;;Anonymous Content
10104;;New Regency Pictures
10105;;Apatow Productions
10138;;Double Nickel Entertainment
10146;;Focus Features
10161;;Gilbert Films
10163;;Working Title Films
10198;;CoMix Wave Films
10201;;Interscope Communications
10210;;Morgan Creek Productions
10211;;Alfran Productions
10217;;Walt Disney Feature Animation
10221;;Walden Media
10227;;Mandeville Films
10229;;New Holland Pictures
10235;;Vision P.D.G.
