id;movieid;companyid
428;207703;22213
429;207703;78995
430;417830;7392
431;1865;2
432;1865;130
433;1865;20478
434;262500;491
435;262500;10227
436;262500;14440
437;262500;24097
438;238636;33
439;238636;729
440;238636;2481
441;238636;3172
442;238636;47354
443;559;5
444;559;326
445;559;19551
446;121856;508
447;121856;862
448;121856;4615
449;121856;8870
450;121856;10104
451;121856;19108
452;121856;28732
453;121856;77845
454;121856;83857
455;121856;86766
456;121856;86767
457;225886;1423
458;225886;2531
459;225886;7431
460;225886;34034
461;168259;33
462;168259;333
463;168259;3341
464;168259;6452
465;168259;7154
466;168259;40890
467;168259;86352
468;168259;86655
469;168259;87857
470;168259;87858
471;145135;2514
472;145135;3172
473;145135;7625
474;145135;25673
475;597;4
476;597;306
477;597;574
478;102899;420
479;1417;2029
480;1417;7470
481;1417;11628
482;131634;264
483;131634;1632
484;131634;5420
485;585;2
486;585;3
487;102382;5
488;102382;19551
489;102382;31828
490;102382;53462
491;72190;4
492;72190;3281
493;72190;6277
494;72190;9169
495;72190;11956
496;72190;19108
497;72190;23644
498;50620;491
499;50620;5219
500;50620;12292
501;269149;2
502;269149;6125
503;50619;491
504;50619;5219
505;50619;6446
506;50619;7490
507;50619;7491
508;50619;12292
509;50619;58321
510;50619;58322
511;141052;429
512;141052;2537
513;141052;2723
514;141052;6194
515;141052;9993
516;141052;41624
517;141052;78685
518;300669;768
519;300669;3045
520;300669;3287
521;300669;11341
522;300669;17393
523;300669;86128
524;105;33
525;105;56
526;105;20448
527;286217;306
528;286217;1645
529;286217;2735
530;286217;6408
531;286217;22213
532;286217;28788
533;12;3
534;339967;1063
535;339967;7344
536;339967;80835
537;339967;90622
538;339967;90733
539;101299;1632
540;101299;5420
541;238615;1205
542;238615;11092
543;24;14
544;24;59
545;24;39121
546;109439;923
547;109439;3527
548;12445;6194
549;12445;7364
550;206647;5
551;206647;10761
552;206647;69434
553;347882;54687
554;347882;57537
555;347882;73625
556;674;462
557;674;6194
558;674;7364
559;93456;33
560;93456;6704
561;136835;49968
562;382614;737
563;382614;10138
564;14564;4
565;14564;829
566;14564;24902
567;14564;49325
568;14564;85425
569;11187;33
570;258230;1246
571;258230;6735
572;258230;8111
573;258230;53490
574;428449;14634
575;428449;41077
576;428449;49471
577;397422;5752
578;397422;76778
579;18;5
580;18;9
581;109445;2
582;109445;6125
583;404733;18626
584;404733;19037
585;404733;78821
586;150540;2
587;150540;3
588;564;33
589;564;11462
590;38365;5
591;38365;2608
592;38365;7295
593;40096;11446
594;40096;13969
595;18785;923
596;18785;3527
597;18785;6194
598;18785;12235
599;68721;420
600;8840;33
601;176;35
602;176;2061
603;176;23019
604;176;55405
605;281957;508
606;281957;562
607;281957;8870
608;281957;10039
609;281957;10104
610;281957;13796
611;281957;28732
612;281957;52660
613;281957;77845
614;10020;2
615;10020;6125
616;10020;10282
617;416477;7493
618;416477;10105
619;416477;20580
620;348;306
621;348;19747
622;12444;6194
623;12444;7364
624;49051;11
625;49051;12
626;49051;174
627;49051;8411
628;305470;1632
629;305470;11305
630;250546;12
631;250546;11565
632;250546;31375
633;250546;41624
634;158015;33
635;158015;729
636;158015;2481
637;158015;3172
638;158015;18065
639;98;27
640;98;33
641;98;1645
642;98;14440
643;98;21904
644;98;21905
645;98;21906
646;36557;7576
647;36557;11345
648;36557;19481
649;9325;2
650;345922;12
651;345922;79
652;345922;2575
653;345922;73118
654;345922;84135
655;396535;20064
656;280;574
657;280;1280
658;280;5358
659;280;14723
660;280;61409
661;62;385
662;62;8411
663;98566;4
664;98566;2348
665;98566;2481
666;158852;2
667;158852;20656
668;158852;59778
669;20352;33
670;20352;6704
671;9806;2
672;9806;3
673;13448;5
674;13448;23
675;13448;5561
676;13448;8253
677;270946;521
678;620;441
679;620;4267
680;620;47565
681;1726;4
682;1726;420
683;118;79
684;118;80
685;118;6194
686;118;8601
687;118;45778
688;118;55512
689;207933;152
690;207933;13923
691;862;3
692;45243;923
693;45243;2877
694;45243;3527
695;45243;6194
696;340677;597
697;340677;5353
698;340677;5358
699;340677;10255
700;340677;10611
701;340677;17653
702;340677;23318
703;340677;53637
704;314095;81
705;314095;11667
706;314095;24049
707;314095;24510
708;314095;73492
709;314095;79963
710;679;306
711;679;396
712;679;19747
713;857;4
714;857;27
715;857;56
716;857;762
717;857;11362
718;11321;5
719;11321;1423
720;11321;7295
721;11321;12485
722;8587;2
723;8587;10217
724;157350;491
725;157350;14440
726;393;14
727;393;59
728;393;39121
729;10491;191
730;10491;701
731;10491;763
732;10491;1756
733;10491;8896
734;10491;27318
735;10491;27319
736;357096;10399
737;76757;79
738;76757;444
739;76757;450
740;76757;6194
741;675;6194
742;675;7364
743;8358;27
744;8358;306
745;8358;4171
746;8358;11395
747;242582;2266
748;242582;24049
749;20526;2
750;20526;7161
751;20526;18713
752;20526;23791
753;20526;76043
754;20526;76067
755;277216;12
756;277216;33
757;277216;923
758;277216;2780
759;277216;63924
760;277216;63925
761;10674;2
762;10674;10217
763;257344;5
764;257344;2608
765;28468;5128
766;28468;11398
767;28468;51145
768;2501;33
769;2501;7383
770;2501;7384
771;2501;7385
772;2501;11345
773;324786;152
774;324786;455
775;324786;8915
776;324786;10246
777;324786;50481
778;324786;79916
779;1402;441
780;1402;1423
781;1402;7295
782;1402;12485
783;227159;12
784;227159;6363
785;227159;28732
786;455661;18359
787;296;5
788;296;763
789;296;6194
790;296;7340
791;296;19116
792;296;23636
793;197;4564
794;197;7965
795;197;11353
796;14;27
797;14;2721
798;420648;10012
799;420648;29566
800;420648;32485
801;420648;85516
802;203835;14
803;203835;3172
804;203835;7405
805;273477;4
806;273477;5698
807;273477;8000
808;273477;69656
809;180;27
810;180;44
811;180;56
812;180;306
813;180;766
814;180;26265
815;180;76068
816;188927;4
817;188927;11461
818;188927;34530
819;188927;69484
820;188927;82819
821;188927;83644
822;188927;83645
823;57158;11
824;57158;12
825;57158;174
826;57158;8411
827;277;126
828;277;7733
829;277;7734
830;277;7735
831;277;7736
832;189;14
833;189;10807
834;189;11005
835;189;11006
836;189;13241
837;189;29076
838;189;41658
839;49026;923
840;49026;6194
